Known As,Full Name,best_position,age,overall,total_stats,value_eur,fitted,residual,std_resid,leverage,cooks
M. Barsham,Meshaal Barsham,GK,24,65,1026,0,5.919184702233293,-5.9191847022331565,-11.425643456821458,0.0014378721167202014,0.008172946768700711
S. Georgiou,Stavros Georgiou,ST,17,55,1461,0,5.90367633348317,-5.903676333482981,-11.392679353108623,9.068710212179896e-4,0.005122281770504305
A. Madibo,Assim Madibo,CDM,25,66,1693,0,5.88343826228075,-5.883438262280574,-11.357033148618566,0.0015064672155550916,0.008460896437485982
F. Helander,Filip Helander,CB,29,72,1510,0,5.88167390010385,-5.88167390010378,-11.350864515078817,0.0010203387430947337,0.005721603718498997
T. Salman,Tarek Salman,CDM,24,66,1679,0,5.8799402932550215,-5.879940293254846,-11.350021621451772,0.0014608511171511067,0.008194197025172737
Ø. Nyland,Ørjan Nyland,GK,31,69,1181,0,5.868098819968153,-5.868098819968024,-11.322745212213354,6.813098316987217e-4,0.0038002859813832286
Z. Nagy,Zsolt Nagy,LWB,29,68,1704,0,5.832859517280479,-5.832859517280287,-11.27158878297535,0.003664962861046423,0.020319200298229485
Y. Abdurisag,Yusuf Abdurisag,RW,22,62,1525,0,5.799354394498768,-5.799354394498625,-11.206769089983165,0.003651909613910342,0.020014370657348395
D. Sundgren,Daniel Sundgren,RWB,31,71,1790,0,5.7866493805436185,-5.786649380543428,-11.177014259676106,0.00272399563893689,0.01483593125954353
M. Soisalo,Mikael Soisalo,RM,24,64,1544,0,5.781632917326911,-5.7816329173267285,-11.157926418231463,0.0010432530113437934,0.0056530407056292874
K. Muneer,Khaled Muneer,RM,24,63,1611,0,5.77892730617495,-5.778927306174768,-11.153482744436102,0.0011825860985053304,0.006403830487980489
I. Mohammad,Ismael Mohammad,RWB,32,67,1809,0,5.770457773063879,-5.770457773063686,-11.148418691973376,0.0032032002254403593,0.017365054749294385
S. Al Brake,Sultan Al Brake,LWB,26,66,1640,0,5.768001965020816,-5.768001965020624,-11.141775991576775,0.002863540668995651,0.015499931132871786
S. Marinović,Stefan Marinović,GK,30,68,1200,0,5.761604374090204,-5.761604374090072,-11.12279142010715,0.001675054663511496,0.009025199520423756
Jorge Molina,Jorge Molina Vidal,ST,40,77,1738,0,5.757087983932177,-5.757087983931992,-11.117833025260401,0.002350289394564361,0.012660641703791208
A. Al Ahrak,Abdullah Al Ahrak,CAM,25,64,1616,0,5.754331281838106,-5.754331281838081,-11.102601274489045,5.688593667479998e-4,0.0030505186675975765
Pedro Miguel,Pedro Miguel C. Deus Correia,RWB,31,69,1685,0,5.744222675735339,-5.74422267573515,-11.097064469210364,0.003083101049946662,0.016558354776088444
S. Gavriel,Stavros Gavriel,CAM,20,61,1455,0,5.731656025032706,-5.731656025032677,-11.060461350587975,8.598869546210703e-4,0.004577555453095415
Á. Lang,Ádám Lang,CB,29,70,1618,0,5.71305624369615,-5.713056243696084,-11.023379141298085,6.441677515333245e-4,0.0034054968409341422
M. Muntari,Mohammed Muntari,ST,28,67,1521,0,5.6891063378520945,-5.689106337851905,-10.977329762345413,6.736857411685686e-4,0.0035319587070183705
N. McGinn,Niall McGinn,RW,34,65,1739,0,5.668450359823661,-5.668450359823523,-10.953894288230087,0.003667615626880546,0.019203872885162586
Y. Hassan,Yousef Hassan,GK,26,65,929,0,5.666204847549204,-5.666204847549069,-10.933408125007643,7.226011507193363e-4,0.003758338281952327
Rubén Castro,Rubén Castro Martín,ST,41,73,1855,0,5.648773892931673,-5.648773892931488,-10.90499184585719,0.0016787069001432708,0.008694155342110382
S. Al Sheeb,Saad Al Sheeb,GK,32,68,1070,0,5.628605610098869,-5.628605610098736,-10.86477025754659,0.0014422520721136098,0.007412782275885449
D. Djamas,David Djamas,LB,18,58,1405,0,5.614864826356492,-5.614864826356334,-10.843710819668548,0.00244833410371471,0.012547676183813423
A. Alaaeldin,Ahmed Alaaeldin,ST,29,65,1588,0,5.600035936419316,-5.60003593641913,-10.806991277908171,9.558801672883925e-4,0.004858481449110775
S. Silva,Santiago Silva,ST,41,70,1766,0,5.5864147251862795,-5.586414725186094,-10.787034751550552,0.002128006394040453,0.010788831601380364
M. Kheder,Musab Kheder,RWB,28,65,1630,0,5.5839773690265275,-5.583977369026333,-10.78687391586312,0.002968829330001959,0.01506398465712765
P. Polykarpou,Paris Polykarpou,CDM,21,60,1479,0,5.564350139898428,-5.5643501398982504,-10.73883097334303,0.0010873124034912938,0.005457741857868577
P. Szappanos,Péter Szappanos,GK,31,65,1009,0,5.5631326647884345,-5.563132664788301,-10.737265533009257,0.0012332202278818088,0.006189222584167054
M. Hassan,Moayed Hassan,RW,30,65,1658,0,5.563039275712173,-5.563039275712035,-10.75050782649677,0.0037256828525423554,0.018791310621056025
M. Langerak,Mitchell Langerak,GK,33,71,1077,0,5.548097705181964,-5.548097705181833,-10.711325612541513,0.0018072755420332361,0.009031680760967685
C. Pellerano,Cristian Pellerano,CDM,40,74,1867,0,5.54498774747667,-5.544987747476497,-10.703966317573949,0.0015545182253008662,0.007755915944303709
J. Sand,José Sand,ST,41,74,1777,0,5.528691120809682,-5.5286911208094995,-10.672113907218149,0.0014808632941001323,0.00734398267783186
A. Moustafa,Abdelrahman Moustafa,RM,25,61,1530,0,5.50954138093772,-5.509541380937536,-10.63236841311667,9.585498126359227e-4,0.0047158868491579105
S. Kittos,Stefanos Kittos,GK,20,58,891,0,5.498287498406179,-5.498287498406046,-10.609516380431218,7.449396423988188e-4,0.0036484472302937337
A. Fiola,Attila Fiola,RWB,32,68,1684,0,5.479187380629122,-5.47918738062893,-10.583927779549347,0.002871309549768781,0.014024736243133796
W. Reid,Winston Reid,CB,33,72,1603,0,5.388916536869409,-5.388916536869343,-10.401740854787736,0.0013725556367966472,0.006465627554094152
C. Spandler,Csaba Spandler,CB,26,63,1434,0,5.373840506519147,-5.373840506519079,-10.370012950912448,8.663414079651395e-4,0.00405411668634597
R. Santa Cruz,Roque Santa Cruz,ST,40,71,1583,0,5.271544736156551,-5.2715447361563665,-10.179866735909819,0.002290173932022789,0.010342381818603906
M. Galmarini,Martín Galmarini,RB,40,64,1728,0,5.13063407626154,-5.130634076261417,-9.907029272546989,0.0021440939731559097,0.00916927589283345
M. Galezo,Moisés Galezo,CB,41,64,1468,0,5.042201484963083,-5.042201484963014,-9.735265169340622,0.0019381319542346191,0.008001909094739627
P. Clarke,Peter Clarke,CB,40,64,1468,0,4.802525248655293,-4.8025252486552255,-9.271719873138133,0.001768312207134554,0.006620950799002586
M. Gould,Matt Gould,GK,28,52,980,0,4.691550951476631,-4.691550951476499,-9.062964930755216,0.002977595843191653,0.010665312743605408
Unai Núñez,Unai Núñez Gestoso,CB,25,79,1580,22000000,6.12943419899843,1.2129885015645054,2.3407728851942435,9.034624804256506e-4,2.1542365388820003e-4
S. Savić,Stefan Savić,CB,31,84,1755,29000000,6.251939911562848,1.2104581013118494,2.335734230095955,7.703459257443941e-4,1.8286874760386153e-4
W. Orban,Willi Orban,CB,29,82,1697,25500000,6.200225884712442,1.2063143127527385,2.3275505018860554,6.091297530182946e-4,1.4356376031439682e-4
Vitor Hugo,Vitor Hugo Franchescoli Souza,CB,31,77,1641,7000000,5.69996011243256,1.14513798962383,2.209760031413136,8.330532472834363e-4,1.770097118113025e-4
J. Aidoo,Joseph Aidoo,CB,26,78,1619,16500000,6.099796695036297,1.1176872754985552,2.157109280636833,0.0011300208942270058,2.2887268875883862e-4
